learningRate, numRows, z[0.2], z[0.25], z[0.3], z[0.35], z[0.4], z[0.45], z[0.5], z[0.55], z[0.6]
0.2, 100, 0.5512500107288361, 0.44574999809265137, 0.40025001764297485, 0.46399998664855957, 0.4452499747276306, 0.47049999237060547, 0.41825002431869507, 0.4197499752044678, 0.4509999752044678
0.25, 200, 0.9609999991953373, 0.9847499998286366, 0.9594999998807907, 0.9725000001490116, 0.91075000166893, 0.9232499971985817, 0.9532499983906746, 0.949499998241663, 0.8962500020861626
0.3, 400, 0.9937499999068677, 0.987750000320375, 0.983500000089407, 0.9804999995976686, 0.9752500001341105, 0.9787499997764826, 0.9745000004768372, 0.9777499996125698, 0.9297500029206276
0.35, 800, 0.9972500000149012, 0.9869999997317791, 0.9824999999254942, 0.9824999999254942, 0.9717500004917383, 0.9804999995976686, 0.9737500008195639, 0.949499998241663, 0.9712499994784594
0.4, 1600, 0.9884999999776483, 0.9827500004321337, 0.9905000003054738, 0.9649999998509884, 0.9622500017285347, 0.9722499996423721, 0.9649999998509884, 0.9594999998807907, 0.9704999998211861
0.45, 3200, 0.9922500001266599, 0.989500000141561, 0.9839999992400408, 0.9905000003054738, 0.9879999998956919, 0.9839999992400408, 0.9672500006854534, 0.9505000002682209, 0.9400000013411045
0.5, 6400, 0.996999999973923, 0.985249999910593, 0.9910000003874302, 0.9604999981820583, 0.9690000005066395, 0.9702499993145466, 0.9872500002384186, 0.9640000015497208, 0.9649999998509884
0.55, , 
0.6, , 
